2020-10-03,0:36:31,ZFG,Wii VC (J),https://www.youtube.com/embed/ge9xS7_rmxM
2020-06-24,0:37:18,ZFG,Wii VC (J),https://www.youtube.com/embed/2cQgUtbUTLc
2020-06-05,0:53:25,realtimeattack64,Wii VC (J),https://www.youtube.com/embed/PA3uRO3UqBc
2020-05-28,0:57:36,tsundererar,Nintendo 64 (J 1.0),https://www.youtube.com/embed/AFBTqPTVWQw
2020-04-25,0:59:12,dannyb,Wii VC (J),https://www.youtube.com/embed/6ZdxcROVHZ8
2020-04-21,0:59:25,tsundererar,Nintendo 64 (J 1.0),https://www.youtube.com/embed/UlWAjiT-iu4
2020-04-18,0:59:52,dannyb,Wii VC (J),https://www.youtube.com/embed/ws3ezNdVEH8
2020-04-15,1:00:14,tsundererar,Nintendo 64 (J 1.0),https://www.youtube.com/embed/OEhlnL3L6FY
2020-04-12,1:00:21,dannyb,Wii VC (J),https://www.youtube.com/embed/6Iy7kRcpaSI
2020-03-23,1:02:08,dannyb,Wii VC (J),https://www.youtube.com/embed/DT5070_2aok
2020-03-22,1:07:10,lake_oot,Wii VC (J),
2020-01-30,1:08:05,dannyb,Wii VC (J),
2020-01-26,1:08:21,dannyb,Wii VC (J),
2020-01-26,1:09:26,dannyb,Wii VC (J),
2020-01-23,1:12:38,dannyb,Wii VC (J),
2020-01-21,1:13:19,dannyb,Wii VC (J),
2020-01-12,1:13:21,Dotzo,Wii VC (J),https://www.youtube.com/embed/4eMfPyOix5A
2019-07-19,1:16:56,Zudu,Nintendo 64 (J 1.0),https://www.youtube.com/embed/TLNs0KhOmfQ
2019-06-15,1:18:20,Zudu,Nintendo 64 (J 1.0),https://www.youtube.com/embed/R5QtJXl_kHA
2019-03-14,1:18:41,realtimeattack64,Wii VC (J),https://www.youtube.com/embed/VZ4ytFV_2_o
2018-11-25,1:18:46,cma2819,Wii VC (J),https://www.youtube.com/embed/RG6gxHtuINE
2018-10-20,1:20:23,Fig,Nintendo 64 (J 1.0),https://www.youtube.com/embed/qWOhlnsf5TA
2017-11-21,1:20:36,sva,Nintendo 64 (J 1.0),
2017-10-26,1:21:58,sva,Nintendo 64 (J 1.0),
2017-10-03,1:23:32,Bonooru,Nintendo 64 (J 1.0),https://www.youtube.com/embed/_NW6D_Jx9eo
2017-09-29,1:25:11,Bonooru,Nintendo 64 (J 1.0),https://www.youtube.com/embed/Q-l0-Kc2kX0
2017-05-24,1:25:39,Valientlink,Nintendo 64 (J 1.0),https://www.youtube.com/embed/fCFmktvZYeA
2017-05-20,1:26:36,Aliensqueakytoy,Nintendo 64 (J 1.0),
2017-05-16,1:27:34,Aliensqueakytoy,Nintendo 64 (J 1.0),https://www.youtube.com/embed/n2rvy1Qpmro
2017-05-08,1:29:03,ZFG,Nintendo 64 (J 1.0),https://www.youtube.com/embed/DR8C071c96Q
2016-11-30,1:29:45,Valientlink,Nintendo 64 (J 1.0),https://www.youtube.com/embed/-8VZ26_PN0M
2016-11-29,1:30:10,Valientlink,Nintendo 64 (J 1.0),
2016-07-11,1:30:19,Aliensqueakytoy,Nintendo 64 (J 1.0),https://www.youtube.com/embed/8hKFZO4iEPI
2016-07-09,1:31:55,Aliensqueakytoy,Nintendo 64 (J 1.0),https://www.youtube.com/embed/DJHxB-b4iIE
2016-04-15,1:32:09,Marco,Wii VC (J),
2016-02-04,1:32:36,Bonooru,Wii VC (J),
2014-10-03,1:33:37,ZFG,Nintendo 64 (J 1.0),https://www.youtube.com/embed/9lY6IRd53HI
2014-08-16,1:35:19,sva,Wii VC (J),https://www.youtube.com/embed/u1u-xn-Xj2U
2014-08-15,1:37:27,Moltov,Wii VC (J),
2014-07-29,1:37:27,ZFG,Nintendo 64 (J 1.0),https://www.youtube.com/embed/5ly4P6YY7Qk
2014-04-14,1:38:16,ZFG,Nintendo 64 (J 1.0),https://www.youtube.com/embed/7enY0s8wnPc
2013-11-05,1:39:03,Moltov,Wii VC (J),
2013-09-20,1:40:07,Moltov,Wii VC (J),
2013-08-20,1:40:45,Moltov,Wii VC (J),
2013-07-27,1:40:57,Pydoyks,Wii VC (J),
2013-07-16,1:41:46,Moltov,Wii VC (J),
2013-06-29,1:43:11,sva,Wii VC (J),
2013-06-06,1:43:26,Moltov,Wii VC (J),
2013-06-01,1:44:41,Moltov,Wii VC (J),
2013-04-27,1:45:13,sva,Wii VC (J),
2013-02-15,1:45:28,Moltov,Wii VC (J),https://www.youtube.com/embed/GKJDi1OMwN4
2013-02-04,1:49:11,Pydoyks,Wii VC (J),
2013-01-28,1:49:13,Pydoyks,Wii VC (J),https://www.youtube.com/embed/_1LuhSmoZwk
2013-01-27,1:49:45,Pydoyks,Wii VC (J),https://www.youtube.com/embed/UsZ0lut1Stg
2013-01-26,1:52:18,Pydoyks,Wii VC (J),https://www.youtube.com/embed/rM1o64k4v00
2012-12-05,2:07:17,Chain,Wii VC (J),
