2017-05-27,3:35:29,dannyb,Wii VC (J),
2017-05-21,3:35:30,dannyb,Wii VC (J),https://www.youtube.com/embed/lCO9gA3_AwU
2017-05-09,3:36:12,dannyb,Wii VC (J),https://www.youtube.com/embed/Rc1tFoTHfJY
2017-05-07,3:36:28,dannyb,Wii VC (J),https://www.youtube.com/embed/RvO7D8uaLUk
2017-03-26,3:36:31,Makai,Wii VC (J),
2016-09-02,3:37:11,dannyb,Wii VC (J),https://www.youtube.com/embed/Djm5o73sVEg
2016-07-01,3:38:04,bell,Wii VC (J),
2016-05-13,3:38:10,Makai,Wii VC (J),
2016-02-16,3:39:00,dannyb,Wii VC (J),https://www.youtube.com/embed/b3jlsOA6pQo
2016-01-21,3:39:12,Makai,Wii VC (J),
2016-01-19,3:40:37,dannyb,Wii VC (J),
2016-01-17,3:40:47,bell,Wii VC (J),
2016-01-15,3:41:01,dannyb,Wii VC (J),
2015-08-14,3:43:41,bell,Wii VC (J),https://www.youtube.com/embed/FVrOflIGHOI
2015-07-25,3:44:19,bell,Wii VC (J),https://www.youtube.com/embed/x_ju3JP0m7o
2015-04-14,3:44:24,Makai,Wii VC (J),https://www.youtube.com/embed/ya_i9b6KPFg
2015-04-02,3:45:34,bell,Wii VC (J),https://www.youtube.com/embed/qDRfjbT7kxU
2014-08-10,3:46:08,enu,Wii VC (J),https://www.youtube.com/embed/420mouc6qSw
2014-07-06,3:47:05,enu,Wii VC (J),
2014-05-19,3:47:48,enu,Wii VC (J),
2014-02-19,3:48:49,enu,Wii VC (J),
2014-02-01,3:48:52,Makai,Wii VC (J),
2013-11-26,3:49:46,enu,Wii VC (J),
2013-11-08,3:50:32,enu,Wii VC (J),
2013-09-09,3:51:20,bane,Wii VC (J),
2012-10-26,3:52:45,bane,Wii VC (J),
2012-09-01,3:54:52,bane,Wii VC (J),
2012-08-18,3:55:09,aderu,Wii VC (J),https://www.youtube.com/embed/il3VPZC6BDk
2012-02-29,3:56:39,bane,Wii VC (J),
2012-01-03,3:57:30,aderu,Wii VC (J),https://www.youtube.com/embed/9WPAnrpNgkU
2011-07-28,3:58:21,izu,Nintendo 64 (J 1.1),
2011-04-21,3:59:16,dada,,
2010-12-12,4:09:13,dada,Nintendo 64 (J 1.0),
2010-09-05,4:17:31,dada,Nintendo 64 (J 1.0),
2010-04-19,4:17:46,dada,Nintendo 64 (J 1.0),
2007-01-03,4:32:52,七空白 / シャンク,Nintendo 64 (J 1.0),
2006-12-28,4:42:54,デクの根さん,Nintendo 64 (J 1.0),
